trial,k,members,weights,ndcg5,recall1,recall5,mean_booked_rank,n_queries,n_booked
256,8,"A11,B1,B10,B7,B9,H2,I3,I6","0.0125,0.0115,0.2706,0.0720,0.3270,0.0412,0.0605,0.2048",0.4249627566036325,0.2564944541739638,0.6436806771745476,5.913018096906013,19979,13704
392,4,"B3,B6,E9,I6","0.1763,0.0762,0.3223,0.4252",0.4249473652901869,0.25518096906012844,0.6451401050788091,5.899956217162872,19979,13704
190,7,"B1,C6,F2,F8,H2,I3,I6","0.0137,0.0947,0.1468,0.2771,0.2681,0.1187,0.0810",0.4249416104578278,0.25561879743140686,0.6441185055458261,5.907180385288966,19979,13704
117,9,"A11,A13,B1,B3,C6,E1,E4,F8,I1","0.2396,0.1362,0.0518,0.0487,0.1075,0.3430,0.0266,0.0137,0.0329",0.4249326639888933,0.25809982486865146,0.6433158201984822,5.907399299474606,19979,13704
277,6,"A2,B1,B3,B6,C9,F8","0.3918,0.1043,0.0489,0.0107,0.2295,0.2149",0.42490507585800996,0.2545242265032107,0.6451401050788091,5.915061295971979,19979,13704
387,10,"B3,B7,C8,E1,E4,E6,F13,F2,H2,I6","0.0754,0.1185,0.0616,0.0549,0.0212,0.2132,0.2004,0.0357,0.0297,0.1897",0.42488819362271113,0.25722416812609455,0.6439725627553999,5.9022183304144775,19979,13704
386,8,"B1,B10,B3,D4,E10,E6,F1,F8","0.0987,0.2737,0.0618,0.1074,0.0507,0.1020,0.0517,0.2541",0.42488544902390096,0.25269994162288384,0.6447752481027437,5.925642148277875,19979,13704
362,8,"B10,B7,B9,C9,D14,D4,F1,F8","0.1790,0.0136,0.1328,0.0232,0.2327,0.0458,0.0488,0.3241",0.424879712788002,0.2540863981319323,0.6452860478692353,5.922942206654991,19979,13704
263,4,"B1,B10,E3,H2","0.3117,0.3557,0.2292,0.1033",0.42487830278301775,0.2545242265032107,0.6452130764740222,5.91389375364857,19979,13704
181,7,"B1,B10,B6,C8,F8,I3,I6","0.0849,0.1498,0.0096,0.3779,0.0241,0.1643,0.1893",0.4248721211410732,0.2543782837127846,0.6454319906596614,5.903604786923526,19979,13704
456,8,"B10,B3,B7,C8,E10,E4,E9,I3","0.1294,0.1237,0.0796,0.1165,0.0167,0.1273,0.3380,0.0688",0.42486634246212257,0.25664039696438995,0.6446293053123175,5.908566841798015,19979,13704
364,3,"A13,B10,D14","0.4648,0.1372,0.3980",0.4248557633157228,0.2548161120840631,0.6444833625218914,5.928998832457677,19979,13704
195,9,"A11,A13,A6,B7,D4,E1,F1,F8,H2","0.1818,0.2123,0.0643,0.2105,0.1074,0.0116,0.1271,0.0648,0.0201",0.42485179080377183,0.2553998832457677,0.6437536485697607,5.915499124343257,19979,13704
70,7,"B3,C6,C9,E1,E7,F1,I3","0.3382,0.1120,0.1304,0.0470,0.0960,0.1988,0.0777",0.4248483021027209,0.2571511967308815,0.645067133683596,5.906742556917688,19979,13704
261,7,"A11,A13,A2,B7,C11,C9,F2","0.0634,0.0868,0.0712,0.0824,0.2968,0.1668,0.2326",0.4248461522713385,0.2565674255691769,0.6449211908931699,5.91009924109749,19979,13704
436,7,"A11,B3,B6,C6,E3,F1,I1","0.1288,0.1558,0.1698,0.2093,0.1606,0.1175,0.0582",0.42484557937935696,0.2561295971978984,0.6447752481027437,5.904918272037361,19979,13704
39,9,"A11,A2,B6,B9,C8,D4,E1,E4,I3","0.0125,0.1646,0.1325,0.2211,0.1487,0.0213,0.1084,0.0757,0.1153",0.42483853227856555,0.25518096906012844,0.6444833625218914,5.9025102159953295,19979,13704
282,7,"A11,B1,B10,B6,D14,E9,F8","0.0220,0.1390,0.1041,0.2108,0.2125,0.2520,0.0596",0.4248331705760534,0.2537215411558669,0.6452130764740222,5.925204319906596,19979,13704
305,9,"A2,B1,B3,B7,B9,E3,E4,F2,I1","0.0054,0.1181,0.1295,0.1297,0.0221,0.3698,0.0847,0.1313,0.0093",0.42482847105122296,0.25386748394629305,0.646964389959136,5.910318155283129,19979,13704
350,9,"A11,A5,B6,B7,D11,D4,E3,I1,I6","0.0156,0.2393,0.2153,0.1107,0.0944,0.0917,0.0236,0.0555,0.1539",0.4248275476258337,0.2537215411558669,0.6445563339171045,5.904553415061296,19979,13704
