ensemble_id,trial,k,members,ndcg5,recall1,recall5,mean_booked_rank,n_queries,n_booked,method,weights
W2_random_weights_014,362,,,0.42585821328160983,0.2577349678925861,0.6445563339171045,5.910610040863982,19979,13704,W2_random_weights,"0.3856,0.0046,0.1529,0.0656,0.0189,0.0945,0.2024,0.0573,0.0006,0.0176"
W2_random_weights_015,163,,,0.425858165039545,0.2561295971978984,0.6452860478692353,5.9142586106246355,19979,13704,W2_random_weights,"0.2130,0.0868,0.1782,0.1345,0.2404,0.0528,0.0405,0.0185,0.0075,0.0278"
W2_random_weights_016,107,,,0.42581849049366244,0.25751605370694686,0.6441914769410391,5.91082895504962,19979,13704,W2_random_weights,"0.3278,0.0219,0.1105,0.0511,0.1372,0.1573,0.0423,0.0521,0.0595,0.0404"
W2_random_weights_017,230,,,0.42580358003467317,0.2558377116170461,0.6457238762405137,5.914550496205488,19979,13704,W2_random_weights,"0.0643,0.0105,0.1411,0.1052,0.1797,0.1131,0.1234,0.2119,0.0135,0.0374"
W2_random_weights_018,133,,,0.4257881926815133,0.2562755399883246,0.6448482194979568,5.919877408056042,19979,13704,W2_random_weights,"0.3952,0.0660,0.0468,0.0148,0.3442,0.0378,0.0070,0.0363,0.0193,0.0326"
W2_random_weights_019,134,,,0.4257734437639628,0.2562755399883246,0.6457968476357268,5.916812609457093,19979,13704,W2_random_weights,"0.1232,0.0057,0.0280,0.0996,0.2726,0.0518,0.0506,0.1720,0.1807,0.0159"
W3_random_pool_weights_000,68,9.0,"A1,A2,B1,B7,C9,D4,E10,E3,F8",0.42590693960453424,0.2549620548744892,0.6449941622883829,5.90725335668418,19979,13704,W3_random_pool_and_weights,"0.1686,0.0843,0.1377,0.2154,0.0463,0.0507,0.0202,0.0162,0.2607"
W3_random_pool_weights_001,422,9.0,"A11,A2,A6,B3,B6,B7,C9,D11,F13",0.4257920283703553,0.25605662580268534,0.6457238762405137,5.908056042031523,19979,13704,W3_random_pool_and_weights,"0.2622,0.0376,0.1419,0.1515,0.0080,0.0450,0.1142,0.1498,0.0899"
W3_random_pool_weights_002,427,9.0,"A1,B10,B6,B7,D14,D4,E1,E4,E9",0.42575589938302216,0.25634851138353765,0.6453590192644484,5.904845300642148,19979,13704,W3_random_pool_and_weights,"0.0139,0.0593,0.1718,0.1195,0.2415,0.0355,0.0181,0.0240,0.3163"
W3_random_pool_weights_003,403,10.0,"A5,B10,B7,C9,D11,D4,E4,I1,I3,I6",0.42573114058198674,0.2553998832457677,0.6465995329830706,5.911631640396965,19979,13704,W3_random_pool_and_weights,"0.0016,0.1975,0.0086,0.3424,0.0723,0.1110,0.0409,0.1133,0.0717,0.0407"
