trial,weights,ndcg5,recall1,recall5,mean_booked_rank,n_queries,n_booked
298,"0.1558,0.2035,0.0178,0.0368,0.1224,0.0418,0.0006,0.2962,0.0116,0.1135",0.42519890187409326,0.2561295971978984,0.6443374197314653,5.919001751313485,19979,13704
266,"0.2849,0.1037,0.1031,0.1350,0.0132,0.0321,0.0241,0.0502,0.1592,0.0946",0.4251844070395967,0.2558377116170461,0.6448482194979568,5.911631640396965,19979,13704
27,"0.0268,0.0712,0.3204,0.1163,0.1218,0.1543,0.1000,0.0632,0.0112,0.0149",0.4251817235040579,0.2546701692936369,0.6452130764740222,5.909515469935785,19979,13704
380,"0.1589,0.2231,0.0066,0.0918,0.0414,0.0668,0.1343,0.0516,0.1391,0.0863",0.4251804928030304,0.2562025685931115,0.6455049620548745,5.914769410391127,19979,13704
458,"0.0166,0.0002,0.2465,0.1899,0.0589,0.0390,0.1284,0.2062,0.0875,0.0269",0.42517727358311264,0.2559836544074723,0.6431698774080561,5.91272621132516,19979,13704
376,"0.0542,0.0613,0.1254,0.0202,0.0820,0.0965,0.1688,0.0742,0.1878,0.1297",0.4251749017555072,0.2549620548744892,0.646015761821366,5.905866900175131,19979,13704
368,"0.1439,0.0451,0.0117,0.1207,0.0837,0.0736,0.0262,0.0700,0.2638,0.1611",0.42517388329068184,0.25634851138353765,0.6452130764740222,5.910464098073555,19979,13704
473,"0.0977,0.0549,0.1379,0.1791,0.0171,0.0942,0.1188,0.0961,0.0586,0.1457",0.42517102010619634,0.2555458260361938,0.6440455341506129,5.912434325744308,19979,13704
179,"0.1169,0.1725,0.0055,0.1764,0.1810,0.0484,0.0861,0.0895,0.0905,0.0332",0.4251679186215292,0.2549620548744892,0.6451401050788091,5.9129451255108,19979,13704
451,"0.0784,0.2222,0.1630,0.0855,0.3254,0.0089,0.0280,0.0000,0.0211,0.0673",0.42516605715097433,0.25386748394629305,0.645942790426153,5.922723292469352,19979,13704
190,"0.1519,0.0980,0.1658,0.1485,0.0429,0.0447,0.0732,0.1785,0.0576,0.0389",0.4251599461430954,0.25576474022183304,0.6434617629889083,5.910537069468768,19979,13704
334,"0.0868,0.0811,0.0204,0.2535,0.1270,0.0837,0.0278,0.1219,0.1049,0.0928",0.42515405884311464,0.25605662580268534,0.6433158201984822,5.9152802101576185,19979,13704
