trial,k,members,ndcg5,recall1,recall5,mean_booked_rank,n_queries,n_booked
388,10,"A1,B1,B6,B7,C8,E4,E9,F1,F13,I3",0.42498518653912865,0.2559836544074723,0.6445563339171045,5.905647985989492,19979,13704
103,6,"A5,B10,D11,E10,E7,I3",0.4249797203419515,0.2552539404553415,0.645942790426153,5.9161558669001755,19979,13704
354,5,"A1,A2,B10,C6,E1",0.42497959560975934,0.2546701692936369,0.6451401050788091,5.916958552247519,19979,13704
228,7,"A11,B3,B6,C9,E9,F8,I6",0.4249741337715274,0.25569176882662,0.6441914769410391,5.905210157618214,19979,13704
434,6,"B7,C11,C9,F13,I3,I6",0.42497225561520124,0.2555458260361938,0.6444103911266783,5.897621132516054,19979,13704
163,10,"B1,B10,B9,D11,D14,E3,E6,E9,F8,H2",0.4249717965577641,0.2543782837127846,0.6447752481027437,5.911923525977817,19979,13704
177,5,"A6,B3,E4,F13,I6",0.4249691560852196,0.2565674255691769,0.6453590192644484,5.909807355516637,19979,13704
405,8,"A13,A2,A5,B9,C6,F13,F2,I3",0.4249666754838256,0.256713368359603,0.6444103911266783,5.911266783420899,19979,13704
187,7,"A11,A13,A2,A6,B10,D14,E7",0.4249598369449218,0.25605662580268534,0.6455049620548745,5.912069468768243,19979,13704
167,8,"A13,B6,D14,E1,E3,E6,F2,I1",0.4249593233711599,0.25576474022183304,0.6455779334500875,5.9032399299474605,19979,13704
258,7,"A13,A6,B10,D11,D14,E3,E7",0.42495928091781116,0.25474314068884996,0.6464535901926445,5.904480443666083,19979,13704
335,6,"A11,A6,B1,B3,F1,H2",0.42495873794402866,0.2559106830122592,0.6435347343841215,5.921847635726795,19979,13704
314,3,"D4,E1,E4",0.42495846233513296,0.25693228254524225,0.6429509632224168,5.916228838295388,19979,13704
20,6,"A1,B3,B6,D14,E3,E6",0.42495692389116335,0.25547285464098074,0.6438995913601868,5.900685931115003,19979,13704
445,6,"A11,A2,B3,B9,E1,F2",0.42495630611356733,0.2555458260361938,0.6457238762405137,5.915061295971979,19979,13704
171,7,"A11,A13,B10,D11,D4,E10,I6",0.4249553332572751,0.25569176882662,0.645067133683596,5.909369527145359,19979,13704
129,8,"A13,B3,C8,D14,D4,E4,E9,I6",0.42495395303926203,0.2564944541739638,0.6438995913601868,5.895067133683596,19979,13704
447,9,"A2,B10,D11,E1,E3,E4,E9,H2,I6",0.42495335818040547,0.25634851138353765,0.6438266199649737,5.899372446001167,19979,13704
244,8,"A13,B3,C11,C6,D11,E4,E9,F1",0.4249507793522725,0.25576474022183304,0.6454319906596614,5.9029480443666085,19979,13704
226,10,"A1,A2,B7,C6,C9,D4,E10,E6,E7,H2",0.4249505945263979,0.2559106830122592,0.6432428488032691,5.904991243432574,19979,13704
205,6,"B10,C11,D11,D4,E1,I6",0.4249482642094188,0.2555458260361938,0.6447752481027437,5.903604786923526,19979,13704
170,10,"A11,A6,B1,B10,C8,D11,D4,E6,F1,F13",0.424947749534253,0.2532107413893754,0.6473292469352014,5.912215411558669,19979,13704
158,8,"A1,A11,A13,B6,E6,H2,I1,I3",0.4249454638130597,0.256713368359603,0.6432428488032691,5.907983070636311,19979,13704
36,10,"A5,A6,B6,B9,C9,E10,E7,F1,F2,F8",0.42493557035915636,0.25386748394629305,0.6461617046117922,5.910610040863982,19979,13704
140,8,"A2,A6,B6,B9,D14,D4,E3,E7",0.42493036669322215,0.2549620548744892,0.6449941622883829,5.899956217162872,19979,13704
458,10,"A11,B3,B7,C6,C8,D11,D14,D4,E1,E10",0.4249227556272793,0.2558377116170461,0.6457238762405137,5.907691185055458,19979,13704
219,3,"A1,E3,E4",0.42491865804135426,0.25693228254524225,0.6434617629889083,5.920169293636894,19979,13704
13,5,"A1,B3,E10,E3,E7",0.4249142037840721,0.25547285464098074,0.6448482194979568,5.904480443666083,19979,13704
233,6,"A2,A5,B10,B6,C9,E1",0.424908673390997,0.25605662580268534,0.6444833625218914,5.908201984821949,19979,13704
