test_id,method,v6_weight,n_added,members_added,weights_added,total_added_weight,ndcg5,recall1,recall5,mean_booked_rank,delta_vs_v6_loo9,delta_vs_overnight_best,grid
C_xen_skew1.5_v6=0.700,global_z,0.7,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0600,0.0600,0.0900,0.0900",0.30000000000000004,0.40960082644029244,0.2407049907049907,0.6251251251251251,6.16048191048191,0.0006408264402924524,-0.00018917355970754501,C_fine_xen_skew
B_XEN_skew1.5_v6=0.70,global_z,0.7,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0600,0.0600,0.0900,0.0900",0.30000000000000004,0.40960082644029244,0.2407049907049907,0.6251251251251251,6.16048191048191,0.0006408264402924524,-0.00018917355970754501,B_aggressive_xen_skew
B_CB_skew2.0_v6=0.60,rank_avg,0.6,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.1333,0.1333,0.0667,0.0667",0.4,0.4095986386154838,0.24113399113399114,0.6239811239811239,6.147611897611897,0.0006386386154837997,-0.00019136138451619766,B_aggressive_cb_skew
B_n3_v6=0.60,blend_rank_global_z,0.6,3,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized,"0.1333,0.1333,0.1333",0.4,0.40959756287369187,0.2412054912054912,0.6241598741598742,6.153367653367654,0.000637562873691877,-0.00019243712630812038,B_aggressive
C_cb_skew1.5_v6=0.750,blend_rank_global_z,0.75,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0750,0.0750,0.0500,0.0500",0.25,0.40959728008994617,0.24066924066924067,0.6248033748033748,6.165987415987416,0.0006372800899461795,-0.00019271991005381794,C_fine_cb_skew
C_cb_skew1.5_v6=0.775,blend_rank_global_z,0.775,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0675,0.0675,0.0450,0.0450",0.22499999999999998,0.40959559894955544,0.24084799084799086,0.6246961246961247,6.168168168168168,0.0006355989495554493,-0.00019440105044454814,C_fine_cb_skew
B_XEN_skew2.0_v6=0.60,blend_rank_global_z,0.6,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0667,0.0667,0.1333,0.1333",0.4,0.4095910154377704,0.2402044902044902,0.625053625053625,6.1493278993279,0.000631015437770388,-0.00019898456222960936,B_aggressive_xen_skew
C_equal_v6=0.700,blend_rank_global_z,0.7,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0750,0.0750,0.0750,0.0750",0.30000000000000004,0.4095909558821295,0.24056199056199057,0.6248748748748749,6.158265408265408,0.0006309558821295247,-0.00019904411787047271,C_fine_equal
A_n4_v6=0.70,blend_rank_global_z,0.7,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0750,0.0750,0.0750,0.0750",0.30000000000000004,0.4095909558821295,0.24056199056199057,0.6248748748748749,6.158265408265408,0.0006309558821295247,-0.00019904411787047271,A_conservative
A_n5_v6=0.70,rank_avg,0.7,5,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42+xendcg_conservative,"0.0600,0.0600,0.0600,0.0600,0.0600",0.30000000000000004,0.40959014527051546,0.24052624052624053,0.6242671242671243,6.149006149006149,0.0006301452705154698,-0.00019985472948452765,A_conservative
A_n4_v6=0.65,blend_rank_query_z,0.65,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0875,0.0875,0.0875,0.0875",0.35,0.40958960013774237,0.2408122408122408,0.6243028743028743,6.153331903331903,0.000629600137742381,-0.0002003998622576164,A_conservative
C_equal_v6=0.650,blend_rank_query_z,0.65,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0875,0.0875,0.0875,0.0875",0.35,0.40958960013774237,0.2408122408122408,0.6243028743028743,6.153331903331903,0.000629600137742381,-0.0002003998622576164,C_fine_equal
A_n5_v6=0.80,query_z,0.8,5,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42+xendcg_conservative,"0.0400,0.0400,0.0400,0.0400,0.0400",0.19999999999999996,0.4095883315314052,0.24049049049049048,0.6244458744458744,6.164092664092664,0.0006283315314052351,-0.00020166846859476228,A_conservative
C_xen_skew1.5_v6=0.725,blend_rank_global_z,0.725,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0550,0.0550,0.0825,0.0825",0.275,0.40958613275547245,0.24077649077649077,0.6244458744458744,6.1616259116259116,0.0006261327554724638,-0.00020386724452753358,C_fine_xen_skew
A_n5_v6=0.75,rank_avg,0.75,5,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42+xendcg_conservative,"0.0500,0.0500,0.0500,0.0500,0.0500",0.25,0.4095837258917481,0.24049049049049048,0.6244458744458744,6.151651651651652,0.0006237258917480837,-0.00020627410825191372,A_conservative
C_equal_v6=0.725,blend_rank_query_z,0.725,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0688,0.0688,0.0688,0.0688",0.275,0.4095830729554055,0.24088374088374087,0.6244458744458744,6.1598741598741595,0.0006230729554055348,-0.00020692704459446265,C_fine_equal
