ensemble_id,exp_id,date,member_ids,n_members,weighting,agg_method,local_ndcg5,kaggle_ndcg5,notes,method,members,weights,ndcg5,recall1,recall5,mean_booked_rank,beats_v4,n_queries,n_booked,note
W2_random_weights_004,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.2201,0.1108,0.2134,0.1152,0.1110,0.0279,0.1448,0.0098,0.0059,0.0410",0.4259951875558873,0.2559106830122592,0.6451401050788091,5.908420899007589,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 148"
W2_random_weights_005,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.4401,0.0900,0.1134,0.0210,0.1326,0.0631,0.0096,0.0312,0.0694,0.0294",0.4259883202069632,0.25809982486865146,0.6436806771745476,5.912434325744308,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 281"
W2_random_weights_006,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.2288,0.2202,0.0236,0.0622,0.1477,0.0970,0.0443,0.0406,0.1108,0.0248",0.42594776404894635,0.2565674255691769,0.6463076474022184,5.908639813193228,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 167"
W2_random_weights_007,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.3190,0.0169,0.0721,0.0846,0.0818,0.0811,0.1090,0.1745,0.0389,0.0220",0.42594148696158746,0.25707822533566843,0.6448482194979568,5.916082895504962,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 377"
W2_random_weights_008,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.2853,0.1437,0.0262,0.1586,0.0111,0.1455,0.0243,0.1879,0.0025,0.0150",0.4259405633418908,0.2581727962638646,0.6441185055458261,5.915645067133684,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 47"
W2_random_weights_009,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.1881,0.2245,0.0173,0.0146,0.2199,0.0080,0.0136,0.2325,0.0630,0.0184",0.4259375534395778,0.25634851138353765,0.6451401050788091,5.913601868067717,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 260"
W2_random_weights_010,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.3026,0.0520,0.0852,0.0374,0.2571,0.0834,0.0266,0.0620,0.0277,0.0660",0.4259343343749917,0.2559106830122592,0.6455049620548745,5.911339754816112,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 306"
W2_random_weights_011,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.1320,0.3055,0.1099,0.0348,0.1664,0.0149,0.0527,0.0919,0.0559,0.0360",0.4259164747850534,0.2555458260361938,0.6458698190309399,5.911558669001751,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 359"
W2_random_weights_012,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.3587,0.0059,0.0996,0.0566,0.0385,0.1703,0.1062,0.0565,0.0268,0.0810",0.42590204048125613,0.25824576765907764,0.6441185055458261,5.911120840630473,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 72"
W2_random_weights_013,,,,10,,,,,,WILDCARD_random_weights,"B3,F13,D4,A1,B10,I3,B9,C9,C11,F1","0.1604,0.0753,0.0892,0.0067,0.0007,0.1597,0.0431,0.2459,0.1832,0.0358",0.4258966827362196,0.25809982486865146,0.6454319906596614,5.907764156450671,YES,19979.0,13704.0,"WILDCARD W2 Dirichlet alpha=1, trial 77"
