config_name,label_gain,seed,num_leaves,learning_rate,best_iter_random,n_features,n_features_reported,random_ndcg5,temporal_ndcg5,temporal_recall1,temporal_recall5,temporal_mbr,delta_temporal_vs_anchor,delta_temporal_vs_random
I4,"0,2,15",456,400,0.03,344,137,137,0.4173040960936301,0.49420120268332746,0.33211783211783213,0.6982696982696983,5.159623909623909,0.09019120268332748,0.07689710658969734
E6,"0,2,15",456,400,0.03,439,143,143,0.4214036543147207,0.49361477768625056,0.32936507936507936,0.7319819819819819,4.598991848991849,0.08960477768625058,0.07221112337152985
F2,"0,2,15",456,400,0.03,439,143,143,0.4214036543147207,0.49361477768625056,0.32936507936507936,0.7319819819819819,4.598991848991849,0.08960477768625058,0.07221112337152985
D6,"0,2,15",456,400,0.03,485,80,80,0.4184947594011178,0.49348921403124807,0.32718432718432716,0.7315529815529815,4.588517088517088,0.08947921403124809,0.07499445463013027
A4,"0,2,25",456,400,0.03,442,143,143,0.4207272582204425,0.49341813210630714,0.32943657943657945,0.7308379808379808,4.58951808951809,0.08940813210630716,0.07269087388586465
I3,"0,2,15",456,400,0.03,426,143,143,0.4218115217085209,0.4921857504628463,0.32732732732732733,0.7292292292292293,4.625983125983126,0.08817575046284631,0.07037422875432542
A8,"0,3,20",456,400,0.03,428,143,143,0.4206005382311993,0.4914704298565932,0.32657657657657657,0.7274059774059775,4.637530387530387,0.08746042985659325,0.07086989162539392
C2,"0,2,15",123,400,0.03,427,143,143,0.4207390734334815,0.4913027298308216,0.32675532675532676,0.7274059774059775,4.636136136136136,0.08729272983082165,0.07056365639734014
D14,"0,2,15",456,400,0.03,409,135,135,0.4210687899112557,0.4905539645193775,0.3241098241098241,0.7284069784069784,4.66952666952667,0.08654396451937751,0.06948517460812181
A6,"0,3,15",456,400,0.03,407,143,143,0.4219782765713343,0.4888423239355949,0.3257185757185757,0.7242599742599742,4.677177177177177,0.08483232393559492,0.0668640473642606
D9,"0,2,15",456,400,0.03,416,139,139,0.4189235504431869,0.48881324816920707,0.3236093236093236,0.7261189761189761,4.657407407407407,0.08480324816920709,0.06988969772602016
B3,"0,2,15",456,400,0.03,326,143,143,0.42396113577726,0.48782208277351446,0.32654082654082656,0.713034463034463,4.94033319033319,0.08381208277351448,0.06386094699625444
A12,"0,1,25",456,400,0.03,400,143,143,0.42070474281903,0.487713723292,0.3213928213928214,0.7255469755469756,4.691369941369941,0.08370372329200004,0.06700898047297005
F3,"0,2,15",456,400,0.03,408,143,143,0.4206877120628958,0.48715179683228854,0.33004433004433004,0.7327684827684827,4.588159588159588,0.08314179683228856,0.06646408476939275
F1,"0,2,15",456,400,0.03,392,143,143,0.421036625366641,0.4868566598812229,0.32203632203632204,0.7234377234377234,4.723258973258973,0.08284665988122292,0.0658200345145819
F12,"0,2,15",456,400,0.03,313,143,143,0.4196198200168831,0.4864181990920636,0.3205348205348205,0.6948376948376949,5.209495209495209,0.0824081990920636,0.06679837907518049
D3,"0,3,15",456,400,0.03,399,142,142,0.418661334011387,0.48625867838996645,0.32264407264407263,0.7196124696124696,4.76015301015301,0.08224867838996647,0.06759734437857945
C12,"0,2,20",789,400,0.03,375,143,143,0.4204783850557079,0.48594518886846094,0.32196482196482196,0.7216502216502216,4.743636493636494,0.08193518886846096,0.06546680381275305
