test_id,phase,n_members,members_added,weights_added,v6_weight,total_added_weight,ndcg5,recall1,recall5,mean_booked_rank,delta_vs_v6_loo9,delta_vs_v4_anchor
v6+xendcg_reg_seed789@w=0.150,1_single,2,xendcg_reg_seed789,0.1500,0.85,0.15,0.4087776233685264,0.23956098956098956,0.6239811239811239,6.16016016016016,-0.00018237663147357974,0.00476762336852643
v6+xendcg_reg_seed789@w=0.100,1_single,2,xendcg_reg_seed789,0.1000,0.9,0.1,0.4087516460663283,0.24013299013299014,0.6236593736593736,6.168203918203918,-0.00020835393367168997,0.00474164606632832
v6+xendcg_reg_seed2024@w=0.200,1_single,2,xendcg_reg_seed2024,0.2000,0.8,0.2,0.40873570549690785,0.2410982410982411,0.6227298727298727,6.1677391677391675,-0.00022429450309213728,0.004725705496907873
v6+cp_reg_seed456@w=0.150,1_single,2,cp_reg_seed456,0.1500,0.85,0.15,0.4087126296956773,0.23995423995423995,0.6237666237666237,6.176462176462176,-0.0002473703043227027,0.004702629695677307
v6+cp_reg_seed123@w=0.075,1_single,2,cp_reg_seed123,0.0750,0.925,0.075,0.40871052673345043,0.2399184899184899,0.623087373087373,6.182718432718433,-0.00024947326654956026,0.00470052673345045
v6+reg_bal15_seed456@w=0.075,1_single,2,reg_bal15_seed456,0.0750,0.925,0.075,0.40870876847697607,0.23984698984698985,0.6235878735878736,6.181824681824682,-0.0002512315230239204,0.00469876847697609
v6+xendcg_reg_seed789@w=0.200,1_single,2,xendcg_reg_seed789,0.2000,0.8,0.2,0.4087056735939343,0.23973973973973975,0.6241956241956242,6.157693407693408,-0.000254326406065708,0.004695673593934302
v6+ds_reg_seed456@w=0.200,1_single,2,ds_reg_seed456,0.2000,0.8,0.2,0.4086819137207022,0.24034749034749034,0.6231946231946232,6.176819676819677,-0.0002780862792978178,0.004671913720702192
v6+reg_bal15_seed42@w=0.100,1_single,2,reg_bal15_seed42,0.1000,0.9,0.1,0.40867502620837143,0.23998998998999,0.6236236236236237,6.183326183326184,-0.0002849737916285622,0.004665026208371448
v6+reg_bal15_seed456@w=0.200,1_single,2,reg_bal15_seed456,0.2000,0.8,0.2,0.40867342366894704,0.23941798941798942,0.6242671242671243,6.182396682396682,-0.00028657633105294567,0.004663423668947064
v6+cp_reg_seed123@w=0.200,1_single,2,cp_reg_seed123,0.2000,0.8,0.2,0.4086605693435515,0.24045474045474047,0.6234448734448734,6.182897182897183,-0.0002994306564484961,0.004650569343551514
v6+cp_reg_seed123@w=0.100,1_single,2,cp_reg_seed123,0.1000,0.9,0.1,0.40865412235802373,0.2398827398827399,0.6232303732303732,6.182789932789933,-0.0003058776419762599,0.00464412235802375
v6+cp_reg_seed123@w=0.150,1_single,2,cp_reg_seed123,0.1500,0.85,0.15,0.408639270659157,0.24013299013299014,0.6234448734448734,6.183040183040183,-0.00032072934084298454,0.004629270659157025
v6+cp_reg_seed456@w=0.200,1_single,2,cp_reg_seed456,0.2000,0.8,0.2,0.4086307606599775,0.23952523952523952,0.6237666237666237,6.173959673959674,-0.00032923934002249133,0.004620760659977519
v6+cp_reg_seed42@w=0.150,1_single,2,cp_reg_seed42,0.1500,0.85,0.15,0.4085874989045685,0.2399184899184899,0.622980122980123,6.179036179036179,-0.0003725010954314656,0.004577498904568544
v6+reg_bal15_seed456@w=0.100,1_single,2,reg_bal15_seed456,0.1000,0.9,0.1,0.4085791136791171,0.2398112398112398,0.6238381238381239,6.183540683540683,-0.00038088632088290053,0.004569113679117109
v6+xendcg_reg_seed456@w=0.150,1_single,2,xendcg_reg_seed456,0.1500,0.85,0.15,0.40857189417765855,0.23927498927498927,0.6234806234806235,6.168382668382669,-0.00038810582234144464,0.004561894177658565
v6+ds_reg_seed42@w=0.200,1_single,2,ds_reg_seed42,0.2000,0.8,0.2,0.408536623908002,0.2398827398827399,0.6234091234091234,6.183147433147433,-0.00042337609199799564,0.004526623908002014
v6+xendcg_reg_seed456@w=0.200,1_single,2,xendcg_reg_seed456,0.2000,0.8,0.2,0.4085246287677134,0.23938223938223938,0.6228013728013728,6.166666666666667,-0.0004353712322865966,0.004514628767713413
v6+ds_reg_seed42@w=0.150,1_single,2,ds_reg_seed42,0.1500,0.85,0.15,0.4085173763857514,0.23956098956098956,0.6233733733733734,6.1798941798941796,-0.00044262361424857177,0.004507376385751438
v6+cb_rank_B_regularized@w=0.150,1_single,2,cb_rank_B_regularized,0.1500,0.85,0.15,0.40844406617539314,0.23931073931073932,0.6233376233376233,6.162662662662663,-0.0005159338246068512,0.004434066175393159
v6+cb_booking_clf@w=0.075,1_single,2,cb_booking_clf,0.0750,0.925,0.075,0.4083822693470422,0.23966823966823966,0.6233733733733734,6.186936936936937,-0.0005777306529577975,0.0043722693470422125
v6+reg_bal15_seed456@w=0.150,1_single,2,reg_bal15_seed456,0.1500,0.85,0.15,0.4083720179240216,0.23923923923923923,0.6234448734448734,6.183326183326184,-0.0005879820759783771,0.004362017924021633
v6+reg_bal15_seed42@w=0.150,1_single,2,reg_bal15_seed42,0.1500,0.85,0.15,0.4082766547044606,0.23934648934648933,0.6228013728013728,6.184756184756185,-0.0006833452955393726,0.004266654704460637
v6+cb_rank_B_regularized@w=0.200,1_single,2,cb_rank_B_regularized,0.2000,0.8,0.2,0.40820018722254914,0.23866723866723866,0.6232303732303732,6.158694408694409,-0.0007598127774508523,0.004190187222549158
v6+reg_bal15_seed42@w=0.200,1_single,2,reg_bal15_seed42,0.2000,0.8,0.2,0.40808456383060104,0.23923923923923923,0.6226941226941227,6.186472186472186,-0.0008754361693989465,0.004074563830601063
v6+cb_booking_clf@w=0.100,1_single,2,cb_booking_clf,0.1000,0.9,0.1,0.4079869077483404,0.238988988988989,0.6233018733018733,6.19004719004719,-0.0009730922516595908,0.003976907748340419
v6+cb_booking_clf@w=0.150,1_single,2,cb_booking_clf,0.1500,0.85,0.15,0.40769891955394794,0.2383097383097383,0.6230516230516231,6.192084942084942,-0.0012610804460520542,0.003688919553947956
v6+cb_booking_clf@w=0.200,1_single,2,cb_booking_clf,0.2000,0.8,0.2,0.406962535876869,0.2377019877019877,0.6222651222651223,6.201129701129701,-0.0019974641231310097,0.002952535876869
